title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.2 out of 5 stars,330 ratings,Not Available
Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller [playstation_4],,4.1 out of 5 stars,337 ratings,Not Available
"Playstation 4 1TB Slim PS4 Gaming Console, Wi-Fi 5, Bluetooth 4.0 with U Deal HDMI",,3.8 out of 5 stars,8 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.6 out of 5 stars,"138,349 ratings",Not Available
"OIVO PS4 Stand with PS4 Cooling Fan Cooler for PlayStation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with PS4 Controller Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"46,685 ratings",Not Available
PlayStation 4 Pro CUH-7100 Series 1TB HDD (Jet Black),,3.8 out of 5 stars,225 ratings,Usually ships within 6 to 7 days
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,682 ratings",Not Available
PlayStation 4 Pro 1TB Console,,4.6 out of 5 stars,"12,787 ratings",Not Available
PS4 Slim 500GB Console + Controller,,4.4 out of 5 stars,"1,939 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.6 out of 5 stars,"15,842 ratings",Not Available
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.0 out of 5 stars,"3,183 ratings",Not Available
"Flagship Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.5 out of 5 stars,215 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"7,198 ratings",Not Available
Playstation 4 Days of Play Limited Edition 1TB Slim Console with Extra Gold Dualshock 4 Wireless Controller Bundle,,5.0 out of 5 stars,14 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.3 out of 5 stars,402 ratings,Not Available
PlayStation 4,,4.6 out of 5 stars,"13,721 ratings",Not Available
"PDP RIFFMASTER Wireless Guitar Controller for PlayStation 5 and PlayStation 4, PS5/PS4, Rock Band 4, Fortnite Festival, Audio Jack, Rechargeable Battery, Officially Licensed by Sony - Black",,4.5 out of 5 stars,"1,566 ratings",Not Available
"2.4GHz Wireless Gaming Headsets for PS5, PS4, PC, Switch - Bluetooth 5.3 Gaming Headphones with Noise Canceling Mic, 7.1 Surround Sound, 70H Battery, Blue Lighting - White",,4.6 out of 5 stars,779 ratings,Not Available
"Wireless Gaming Headsets for PC, PS5, PS4, Switch, Mac, 2.4GHz Wireless Gaming Headphone with ENC Noise Canceling Microphone, Bluetooth 5.4, Cool Lighting, 50H Battery, 50mm Drivers",,4.5 out of 5 stars,"3,048 ratings",In Stock
"SOMIC G951S Green Gaming Headset with Microphone for PS4, PS5, Xbox One, PC, Cat Ear Headphones Over Ear with in-Line Mic Control, Stereo Sound for Girls, Woman",,4.1 out of 5 stars,343 ratings,Not Available
"Pacrate Gaming Headset with Microphone for PC, PS4, PS5, Switch, Xbox Series X/S, Noise Cancelling Gaming Headphones with LED Lights for Kids Adults, Black Green",,4.3 out of 5 stars,"20,132 ratings",In Stock
"VK81 2.4GHz Wireless Gaming Headset for PS5, PS4, PC - Bluetooth Gaming Headphones with Noise Canceling Mic, Low Latency, Stereo Sound, 50+Hr Battery, RGB Headset Game Boy Accessories, Black",,4.9 out of 5 stars,582 ratings,In Stock
